# AUTO_GENERATED_BY_TFM2_META_DASHBOARD
# Do not hand-edit unless you intentionally want to override dashboard meta scoring.
# Generated: 2026-06-07T12:44:02
# Save: C:\Users\hexas\AppData\Roaming\TeamSamoyed\TeamfightManager2\data\save_20260606_171107.data
# Source: overall patch 2026.1.0
# Patch: 2026.1.0
# Scope: overall
# Region: all
# Role: all
# Model: tfm2gg-meta-v1
# Preset: fearless weights={"draftPressure": 0.22, "lowerPressure": 0.18, "lowerStrength": 0.82, "strength": 0.78}
# PolicyPresetSource: policy setting
# Sample: normal min=10 reason=686 matches
# SampleVolume: 686.0
# PatchGate: mode=- decision=- source=- mature=None
# RequestedPatch: 2026.1.0
# EffectivePatch: 2026.1.0
# HoldReason: -
# GateMetrics: matches=686.0 min=- fallback=- eligible=43/64 required=-
# WinPrior: mean=50.0 kappa=33.9
# BaselinePresence: 22.6
# PolicyKind: aiChampion
# OverallSemantic: ai_bias_scaled_from_meta_tier
# OverallNote: overall is scaled for AI draft bias so the native addon has a visible but capped effect.
# OverallAnchors: {"A": 70.0, "B": 60.0, "C": 50.0, "D": 40.0, "S": 80.0}
# NativeBiasFormula: clamp((overall - 50) / 20, -1.5, 1.5)
# Format: champion_id<TAB>tier<TAB>overall<TAB>candidate_index
# For No tier, overall is omitted and the native addon writes an explicit NoTier entry.
# Non-eligible or low-sample champions are emitted as neutral C/50.0.
# champion_id	tier	overall	candidate_index
malphite	S	80.0	60
beast_valtan	S	80.0	61
soldier	S	80.0	4
dual_blader	A	72.2	16
android	A	71.8	48
circus_blade	A	71.0	59
gambler	A	70.9	21
archer	A	70.9	3
hunter	A	70.7	58
wind_mage	B	60.6	54
ninja	B	60.5	10
poison_dart_hunter	B	60.5	44
demon	B	60.5	23
ghost	B	60.5	40
shield_bearer	B	60.2	28
fighter	B	60.2	0
pythoness	C	49.8	6
spirit_caller	C	49.7	25
guardian_spirit	C	49.7	57
illusionist	C	49.6	41
bomber	C	49.5	51
barrier_magician	C	49.4	34
berserker	C	49.3	12
executioner	C	49.3	13
bard	C	49.3	33
shadowmancer	C	49.2	45
pyromancer	C	49.2	8
siege_breaker	C	48.8	47
gunner	D	38.6	18
plague_doctor	D	38.6	43
monk	D	38.6	7
white_mage	D	38.5	53
lancer	D	38.4	14
whip_master	D	38.4	29
swordman	D	38.3	2
werewolf	D	38.2	30
dancer	D	37.5	37
oni	D	37.4	62
ice_mage	D	37.4	9
taoist	D	37.3	46
cavalry_knight	D	37.3	17
squirrel	D	37.2	63
vampire	D	37.0	24
hitman	C	50.0	56
dark_mage	C	50.0	38
hammerer	C	50.0	22
prisoner	C	50.0	50
enchanter	C	50.0	55
inquisitor	C	50.0	27
chef	C	50.0	35
ogre	C	50.0	15
exorcist	C	50.0	39
priest	C	50.0	5
boomerang_hunter	C	50.0	26
voodoo_shaman	C	50.0	52
pole_warrior	C	50.0	19
lightning_mage	C	50.0	42
magic_knight	C	50.0	11
druid	C	50.0	49
dokkaebi	C	50.0	31
necromancer	C	50.0	32
knight	C	50.0	1
clown	C	50.0	36
jiangshi	C	50.0	20
