# AUTO_GENERATED_BY_TFM2_META_DASHBOARD
# Do not hand-edit unless you intentionally want to override dashboard AI draft mapping.
# Generated: 2026-06-06T16:26:00
# Source: overall patch 2026.0.0
# Patch: 2026.0.0
# Scope: overall
# Preset: classic
# MapKind: aiCandidateMap
# CustomCandidateMode: conditional_custom
# BaseCandidateCount: 60
# ActiveExternalChampionCount: 4
# ExpectedRuntimeChampionCount: 64
# Verification: custom rows are applied only when runtime available_champions count matches ExpectedRuntimeChampionCount.
# Verification: base rows must match the built-in 0..59 candidate order.
# Format: candidate_index<TAB>champion_id<TAB>source<TAB>status
# candidate_index	champion_id	source	status
0	fighter	base	verified_base
1	knight	base	verified_base
2	swordman	base	verified_base
3	archer	base	verified_base
4	soldier	base	verified_base
5	priest	base	verified_base
6	pythoness	base	verified_base
7	monk	base	verified_base
8	pyromancer	base	verified_base
9	ice_mage	base	verified_base
10	ninja	base	verified_base
11	magic_knight	base	verified_base
12	berserker	base	verified_base
13	executioner	base	verified_base
14	lancer	base	verified_base
15	ogre	base	verified_base
16	dual_blader	base	verified_base
17	cavalry_knight	base	verified_base
18	gunner	base	verified_base
19	pole_warrior	base	verified_base
20	jiangshi	base	verified_base
21	gambler	base	verified_base
22	hammerer	base	verified_base
23	demon	base	verified_base
24	vampire	base	verified_base
25	spirit_caller	base	verified_base
26	boomerang_hunter	base	verified_base
27	inquisitor	base	verified_base
28	shield_bearer	base	verified_base
29	whip_master	base	verified_base
30	werewolf	base	verified_base
31	dokkaebi	base	verified_base
32	necromancer	base	verified_base
33	bard	base	verified_base
34	barrier_magician	base	verified_base
35	chef	base	verified_base
36	clown	base	verified_base
37	dancer	base	verified_base
38	dark_mage	base	verified_base
39	exorcist	base	verified_base
40	ghost	base	verified_base
41	illusionist	base	verified_base
42	lightning_mage	base	verified_base
43	plague_doctor	base	verified_base
44	poison_dart_hunter	base	verified_base
45	shadowmancer	base	verified_base
46	taoist	base	verified_base
47	siege_breaker	base	verified_base
48	android	base	verified_base
49	druid	base	verified_base
50	prisoner	base	verified_base
51	bomber	base	verified_base
52	voodoo_shaman	base	verified_base
53	white_mage	base	verified_base
54	wind_mage	base	verified_base
55	enchanter	base	verified_base
56	hitman	base	verified_base
57	guardian_spirit	base	verified_base
58	hunter	base	verified_base
59	circus_blade	base	verified_base
60	oni	active_external	conditional_external
61	squirrel	active_external	conditional_external
62	beast_valtan	active_external	conditional_external
63	malphite	active_external	conditional_external
