# AUTO_GENERATED_BY_TFM2_META_DASHBOARD
# Do not hand-edit unless you intentionally want to override dashboard meta scoring.
# Generated: 2026-06-06T22:26:36
# Save: C:\Users\hexas\AppData\Roaming\TeamSamoyed\TeamfightManager2\data\save_20260606_010734.data
# Source: overall all patches
# Patch: all
# Scope: overall
# Region: all
# Role: all
# Model: tfm2gg-meta-v1
# Preset: classic weights={"draftPressure": 0.16, "lowerPressure": 0.12, "lowerStrength": 0.88, "strength": 0.84}
# PolicyPresetSource: dashboard setting
# Sample: early min=5 reason=0 matches
# SampleVolume: 0.0
# PatchGate: mode=- decision=- source=- mature=None
# RequestedPatch: all
# EffectivePatch: all
# HoldReason: -
# GateMetrics: matches=0.0 min=- fallback=- eligible=0/64 required=-
# WinPrior: mean=50.0 kappa=24.0
# BaselinePresence: 0.1
# PolicyKind: aiChampion
# OverallSemantic: ai_bias_scaled_from_meta_tier
# OverallNote: overall is scaled for AI draft bias so the native addon has a visible but capped effect.
# OverallAnchors: {"A": 70.0, "B": 60.0, "C": 50.0, "D": 40.0, "S": 80.0}
# NativeBiasFormula: clamp((overall - 50) / 20, -1.5, 1.5)
# Format: champion_id<TAB>tier<TAB>overall<TAB>candidate_index
# For No tier, overall is omitted and the native addon removes any existing team tier entry.
# Non-eligible or low-sample champions are emitted as neutral C/50.0.
# champion_id	tier	overall	candidate_index
hitman	C	50.0	56
vampire	C	50.0	24
dark_mage	C	50.0	38
illusionist	C	50.0	41
pyromancer	C	50.0	8
bomber	C	50.0	51
gunner	C	50.0	18
executioner	C	50.0	13
whip_master	C	50.0	29
lancer	C	50.0	14
hammerer	C	50.0	22
prisoner	C	50.0	50
spirit_caller	C	50.0	25
enchanter	C	50.0	55
inquisitor	C	50.0	27
bard	C	50.0	33
ghost	C	50.0	40
chef	C	50.0	35
ogre	C	50.0	15
oni	C	50.0	62
plague_doctor	C	50.0	43
exorcist	C	50.0	39
ice_mage	C	50.0	9
android	C	50.0	48
demon	C	50.0	23
guardian_spirit	C	50.0	57
soldier	C	50.0	4
priest	C	50.0	5
hunter	C	50.0	58
boomerang_hunter	C	50.0	26
voodoo_shaman	C	50.0	52
pole_warrior	C	50.0	19
lightning_mage	C	50.0	42
white_mage	C	50.0	53
shield_bearer	C	50.0	28
beast_valtan	C	50.0	61
wind_mage	C	50.0	54
dancer	C	50.0	37
pythoness	C	50.0	6
monk	C	50.0	7
malphite	C	50.0	60
magic_knight	C	50.0	11
druid	C	50.0	49
dual_blader	C	50.0	16
poison_dart_hunter	C	50.0	44
taoist	C	50.0	46
gambler	C	50.0	21
dokkaebi	C	50.0	31
squirrel	C	50.0	63
ninja	C	50.0	10
werewolf	C	50.0	30
necromancer	C	50.0	32
knight	C	50.0	1
cavalry_knight	C	50.0	17
shadowmancer	C	50.0	45
archer	C	50.0	3
berserker	C	50.0	12
clown	C	50.0	36
siege_breaker	C	50.0	47
circus_blade	C	50.0	59
barrier_magician	C	50.0	34
fighter	C	50.0	0
swordman	C	50.0	2
jiangshi	C	50.0	20
